 (Half Day),(Meio Dia)
Invalid Mail Server. Please rectify and try again.,Servidor de E-Mail Inválido. Por favor corrigir e tentar novamente.
Invalid Master Name,Nome do Cadastro Inválido
Invalid User Name or Support Password. Please rectify and try again.,Nome de usuário inválido ou senha do Suporte. Por favor corrigir e tentar novamente.
Invalid quantity specified for item {0}. Quantity should be greater than 0.,Quantidade inválido especificado para o item {0} . Quantidade deve ser maior do que 0 .
Inventory,Inventário
Inventory & Support,Inventário e Suporte
Investment Banking,Banca de Investimento
Investments,Investimentos
Invoice Date,Data da Fatura
Invoice Details,Detalhes da Fatura
Invoice No,Fatura Nº
Invoice Period From Date,Período Inicial de Fatura
Invoice Period From and Invoice Period To dates mandatory for recurring invoice,Fatura Período De e Período fatura para datas obrigatórias para fatura recorrentes
Invoice Period To Date,Período Final de Fatura
Invoiced Amount (Exculsive Tax),Valor Faturado (Excluídos Tributos)
Is Active,Está Ativo(a)
Is Advance,É antecipado
Is Cancelled,Está Cancelado
Is Carry Forward,É encaminhado
Is Default,É Padrão
Is Encash,É Cobrança
Is Fixed Asset Item,É Item Imobilizado
Is LWP,É LWP
Is Opening,É Abertura
Is Opening Entry,É Lançamento de Abertura
Is POS,É PDV
Is Primary Contact,É Contato Principal
Is Purchase Item,É Item de Compra
Is Sales Item,É Item de Venda
Is Service Item,É Item de Serviço
Is Stock Item,É Item de Estoque
Is Sub Contracted Item,É Item Subcontratado(a)
Is Subcontracted,É Subcontratado(a)
Is this Tax included in Basic Rate?,Este imposto está incluído no Valor Base?
Issue,Problema
Issue Date,Data do Problema
Issue Details,Detalhes do Problema
Issued Items Against Production Order,Itens Emitidos contra Ordem de Produção
It can also be used to create opening stock entries and to fix stock value.,Ele também pode ser usado para criar entradas de abertura de ações e fixar o valor das ações .
Item,Item
Item Advanced,Item antecipado
Item Barcode,Código de Barras do Item
Item Batch Nos,Nº do Lote do Item
Item Code,Código do Item
Item Code > Item Group > Brand,Código do Item > Grupo do Item > Marca
Item Code and Warehouse should already exist.,O Código do Item e Almoxarifado já devem existir.
Item Code cannot be changed for Serial No.,O Código do Item não pode ser alterado para o Nº de Série.
Item Code is mandatory because Item is not automatically numbered,O Código do Item é obrigatório porque o Item não é numerado automaticamente
Item Code required at Row No {0},Código do Item exigido na Linha Nº {0}
Item Customer Detail,Detalhe do Cliente do Item
Item Description,Descrição do Item
Item Desription,Descrição do Item
Item Details,Detalhes do Item
Item Group,Grupo de Itens
Item Group Name,Nome do Grupo de Itens
Item Group Tree,Estrutura dos Grupos de Itens
Item Groups in Details,Detalhes dos Grupos do Itens
Item Image (if not slideshow),Imagem do Item (se não for slideshow)
Item Name,Nome do Item
Item Naming By,Nomear Item Por
Item Price,Preço do Item
Item Prices,Preços de Itens
Item Quality Inspection Parameter,Parâmetro de Inspeção de Qualidade do Item
Item Reorder,Reposição de Item
Item Serial No,Nº de Série do Item
Item Serial Nos,Nºs de Série de Itens
Item Shortage Report,Relatório de Falta de Itens
Item Supplier,Fornecedor do Item
Item Supplier Details,Detalhes do Fornecedor do Item
Item Tax,Imposto do Item
Item Tax Amount,Valor do Imposto do Item
Item Tax Rate,Taxa de Imposto do Item
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,Linha de Imposto do Item {0} deve ter uma conta do tipo de Imposto ou Receita ou Despesa ou Exigível
Item Tax1,Imposto do Item 1
Item To Manufacture,Item Para Fabricação
Item UOM,UDM do Item
Item Website Specification,Especificação do Site do Item
Item Website Specifications,Especificações do Site do Item
Item Wise Tax Detail,Detalhe do Imposto do Item
Item Wise Tax Detail ,Detalhe do Imposto do Item 
Item is required,Item é necessário
Item is updated,Item está atualizado
Item master.,Cadastro de itens.
"Item must be a purchase item, as it is present in one or many Active BOMs","O artigo deve ser um item de compra , uma vez que está presente em um ou muitos BOM Activo"
Item or Warehouse for row {0} does not match Material Request,Item ou Almoxarifado para linha {0} não corresponde ao Pedido de Materiais
Item table can not be blank,A tabela de itens não pode estar em branco
Item to be manufactured or repacked,Item a ser fabricado ou reembalado
Item valuation updated,Valorização item atualizado
Item will be saved by this name in the data base.,O Item será salvo com este nome na base de dados.
Item {0} appears multiple times in Price List {1},Item {0} aparece várias vezes na lista Preço {1}
Item {0} does not exist,Item {0} não existe
Item {0} does not exist in the system or has expired,Item {0} não existe no sistema ou expirou
Item {0} does not exist in {1} {2},Item {0} não existe em {1} {2}
Item {0} has already been returned,Item {0} já foi devolvido
Item {0} has been entered multiple times against same operation,Item {0} foi inserido várias vezes contra a mesma operação
Item {0} has been entered multiple times with same description or date,Item {0} foi inserido várias vezes com a mesma descrição ou data
Item {0} has been entered multiple times with same description or date or warehouse,Item {0} foi inserido várias vezes com a mesma descrição ou data ou almoxarifado
Item {0} has been entered twice,Item {0} foi digitada duas vezes
Item {0} has reached its end of life on {1},Item {0} chegou ao fim da vida em {1}
Item {0} ignored since it is not a stock item,Item {0} ignorado uma vez que não é um item de estoque
Item {0} is cancelled,Item {0} está cancelado
Item {0} is not Purchase Item,Item {0} não é Item de Compra
Item {0} is not a serialized Item,Item {0} não é um item serializado
Item {0} is not a stock Item,Item {0} não é um item de estoque
Item {0} is not active or end of life has been reached,Item {0} não está ativo ou fim de vida útil foi atingido
Item {0} is not setup for Serial Nos. Check Item master,Item {0} não está configurado para Nºs de Série. Verifique o Item mestre
Item {0} is not setup for Serial Nos. Column must be blank,Item {0} não está configurado para Nºs de Série. A coluna deve estar em branco
Item {0} must be Sales Item,Item {0} deve ser Item de Vendas
Item {0} must be Sales or Service Item in {1},Item {0} deve ser de Vendas ou Atendimento item em {1}
Item {0} must be Service Item,Item {0} deve ser item de serviço
Item {0} must be a Purchase Item,Item {0} deve ser um item de compra
Item {0} must be a Sales Item,Item {0} deve ser um item de vendas
Item {0} must be a Service Item.,Item {0} deve ser um item de serviço .
Item {0} must be a Sub-contracted Item,Item {0} deve ser um item do sub- contratados
Item {0} must be a stock Item,Item {0} deve ser um item de estoque
Item {0} must be manufactured or sub-contracted,Item {0} deve ser fabricado ou sub- contratados
Item {0} not found,Item {0} não foi encontrado
Item {0} with Serial No {1} is already installed,Item {0} com o Nº de Série {1} já está instalado
Item {0} with same description entered twice,Item {0} com a mesma descrição inserida duas vezes
"Item, Warranty, AMC (Annual Maintenance Contract) details will be automatically fetched when Serial Number is selected.","Detalhes do Item, Garantia, CAM (Contrato Anual de Manutenção) serão carregados automaticamente quando o Nº de Série for selecionado."
Item-wise Last Purchase Rate,Valor da Última Compra por Item
Item-wise Price List Rate,Valor da Lista de Preços por Item 
Item-wise Purchase History,Histórico de Compras por Item
Item-wise Purchase Register,Registro de Compras por Item
Item-wise Sales History,Histórico de Vendas por Item
Item-wise Sales Register,Registro de Vendas por Item
"Item: {0} managed batch-wise, can not be reconciled using \
					Stock Reconciliation, instead use Stock Entry","Item: {0} gerenciado por lote, não pode ser reconciliado utilizando \
					Reconciliação de Estoque, em vez disso utilize Lançamento de Estoque"
Item: {0} not found in the system,Item : {0} não foi encontrado no sistema
Items,Itens
Items To Be Requested,Itens a Serem Solicitados
Items required,Itens Exigidos
"Items to be requested which are ""Out of Stock"" considering all warehouses based on projected qty and minimum order qty","Os itens a serem solicitados que estão &quot;Fora de Estoque&quot;, considerando todos os almoxarifados com base na quantidade projetada e pedido mínimo"
Items which do not exist in Item master can also be entered on customer's request,Itens que não existem no Cadastro de Itens também podem ser inseridos na requisição do cliente
Itemwise Discount,Desconto por Item
Itemwise Recommended Reorder Level,Nível de Reposição Recomendado por Item
Job Applicant,Candidato a Emprego
Job Opening,Vaga de Emprego
Job Profile,Perfil da Vaga de Emprego
Job Title,Cargo
"Job profile, qualifications required etc.","Perfil de trabalho, qualificações exigidas, etc"
Jobs Email Settings,Configurações do E-Mail de Empregos
Journal Entries,Lançamentos do Livro Diário
Journal Entry,Lançamento do Livro Diário
Journal Voucher,Comprovante do Livro Diário
Journal Voucher Detail,Detalhe do Comprovante do Livro Diário
Journal Voucher Detail No,Nº do Detalhe do Comprovante do Livro Diário
Journal Voucher {0} does not have account {1} or already matched,O Comprovante do Livro Diário {0} não tem conta {1} ou já combinado
Journal Vouchers {0} are un-linked,Os Comprovantes do Livro Diário {0} estão desconectados
Keep a track of communication related to this enquiry which will help for future reference.,"Mantenha o controle de comunicações relacionadas a esta consulta, o que irá ajudar para futuras referências."
Keep it web friendly 900px (w) by 100px (h),Mantenha amigável para web 900px (l) por 100px (a)
Key Performance Area,Área Chave de Performance
Key Responsibility Area,Área Chave de Responsabilidade
Kg,Kg
LR Date,Data LR
LR No,Nº LR
Label,Etiqueta
Landed Cost Item,Custo de Importação do Item
Landed Cost Items,Custo de Importação dos Itens
Landed Cost Purchase Receipt,Recibo de Compra do Custo de Importação
